studentid,subsidy
2,0
3,0
16,0
17,0
32,1500
33,0
34,1000
35,1000
38,0
39,0
46,1000
47,2000
48,1000
49,1500
60,0
61,0
72,1000
73,1000
90,1500
91,1500
96,1000
97,0
100,0
101,0
102,0
103,0
104,1000
105,1500
108,0
109,2000
110,0
111,0
114,1000
115,1500
116,0
117,2000
120,2000
121,0
136,1000
137,2000
140,1000
141,1000
146,0
147,2000
148,1000
149,1000
166,0
167,1500
182,0
183,0
190,0
191,1000
200,1000
201,1000
202,1500
203,1500
204,1000
205,1500
214,2000
215,1000
218,1000
219,1000
228,1000
229,1000
234,0
235,2000
250,0
251,0
260,1000
261,0
268,0
269,1000
270,1000
271,0
272,0
273,1000
274,1000
275,1000
276,2000
277,1000
278,2000
279,1000
286,2000
287,0
290,1000
291,1500
298,1000
299,1500
304,2000
305,2000
308,1000
309,1000
310,1500
311,1000
312,2000
313,0
318,2000
319,0
320,1000
321,1000
324,1000
325,1000
328,1000
329,0
334,0
335,0
344,1000
345,0
348,1000
349,1000
358,0
359,0
362,1000
363,2000
376,1000
377,2000
384,0
385,0
386,1500
387,1000
388,1000
389,1000
390,1000
391,1000
394,1000
395,1500
396,1500
397,1500
404,1000
405,1000
416,1000
417,1000
418,1000
419,1000
420,0
421,2000
424,1500
425,2000
432,1000
433,0
442,1000
443,1000
444,0
445,1000
446,1000
447,0
452,1000
453,1500
454,1500
455,1500
460,0
461,0
462,1500
463,1500
466,1000
467,1500
468,0
469,0
474,0
475,0
478,1000
479,1500
484,1000
485,0
486,0
487,0
488,0
489,1000
498,0
499,1000
500,2000
501,1500
502,0
503,0
512,1000
513,2000
526,1000
527,2000
544,0
545,0
550,1000
551,2000
558,1000
559,1000
562,0
563,1500
570,0
571,0
574,0
575,0
578,1000
579,1000
582,1000
583,2000
586,1000
587,1500
588,1000
589,2000
592,1000
593,2000
594,1000
595,2000
598,1000
599,1500
604,1000
605,1000
608,1000
609,1000
610,1000
611,1000
614,0
615,0
618,1000
619,1000
620,2000
621,1500
630,1500
631,1500
640,1000
641,1500
642,1000
643,1000
646,0
647,2000
654,1000
655,1000
664,1000
665,1000
668,1000
669,1000
678,1500
679,1500
682,1000
683,1000
684,1000
685,1000
686,1500
687,1500
692,1000
693,1000
710,1000
711,1500
728,1000
729,1000
730,1000
731,1000
734,1000
735,0
736,0
737,1000
738,1000
739,1500
740,1500
741,1500
748,1000
749,1000
750,1000
751,1000
758,1500
759,2000
766,1000
767,1500
776,0
777,2000
788,1500
789,2000
790,1500
791,2000
798,1000
799,1500
804,1500
805,2000
808,1000
809,0
810,1000
811,1500
830,2000
831,1000
832,0
833,0
834,1000
835,1500
842,1000
843,1500
846,1000
847,1500
848,1000
849,2000
850,1000
851,1500
852,1500
853,2000
854,2000
855,2000
858,1000
859,1000
860,1000
861,1000
864,1000
865,1000
868,1000
869,1000
902,1000
903,1000
914,1000
915,1000
922,0
923,1000
924,1000
925,1000
934,2000
935,1500
938,1000
939,2000
942,0
943,1000
944,1500
945,1000
950,2000
951,2000
952,1000
953,0
954,1000
955,1000
956,0
957,1500
960,1000
961,1500
974,0
975,1500
978,1000
979,2000
980,2000
981,1500
982,1000
983,1000
984,2000
985,2000
992,1000
993,1500
994,1000
995,1000
1000,0
1001,0
1008,0
1009,0
1022,0
1023,0
1026,2000
1027,1000
1038,1000
1039,1500
1044,1000
1045,1500
1046,0
1047,1500
1048,2000
1049,1500
1052,1000
1053,1500
1058,1000
1059,0
1060,0
1061,1500
1062,0
1063,0
1064,0
1065,0
1066,1000
1067,1500
1068,0
1069,0
1074,0
1075,0
1078,1000
1079,1500
1080,0
1081,1500
1088,0
1089,0
1092,1000
1093,1000
1096,1000
1097,1500
1120,0
1121,2000
1128,0
1129,1500
1130,1000
1131,1000
1134,0
1135,1500
1140,0
1141,2000
1144,0
1145,1000
1150,0
1151,2000
1152,1000
1153,2000
1156,1500
1157,1000
1166,0
1167,0
1168,0
1169,0
1176,1000
1177,0
1198,1000
1199,1000
1204,1000
1205,1000
1206,1000
1207,1000
1208,1000
1209,1000
1210,0
1211,0
1212,0
1213,1000
1214,0
1215,0
1216,0
1217,1000
1220,0
1221,0
1224,0
1225,0
1232,2000
1233,2000
1240,0
1241,0
1246,0
1247,0
1252,1000
1253,0
1256,1000
1257,1500
1268,1000
1269,1000
1270,0
1271,2000
1272,0
1273,2000
1282,1000
1283,2000
1284,1000
1285,2000
1288,1000
1289,1000
1290,2000
1291,1000
1304,1000
1305,1500
1306,0
1307,0
1318,2000
1319,2000
1320,2000
1321,2000
1324,0
1325,0
1326,0
1327,0
1350,0
1351,1000
1352,0
1353,2000
1354,0
1355,0
1358,0
1359,1500
1364,2000
1365,1000
1372,1000
1373,2000
1392,1000
1393,2000
1396,2000
1397,2000
1414,1000
1415,0
1434,1000
1435,1000
1440,2000
1441,1000
1448,1000
1449,2000
1452,0
1453,1000
1460,0
1461,0
1464,0
1465,0
1476,2000
1477,1000
1478,1000
1479,1000
1480,0
1481,2000
1486,0
1487,2000
1488,1000
1489,1000
1494,0
1495,0
1504,1000
1505,1500
1518,2000
1519,0
1520,0
1521,2000
1524,2000
1525,1000
1532,1500
1533,1500
1534,1000
1535,1000
1548,1000
1549,1000
1552,1000
1553,2000
1554,1000
1555,2000
1564,1000
1565,1000
1568,1000
1569,2000
1570,1000
1571,0
1576,1000
1577,1500
1580,1000
1581,1000
1592,1000
1593,1000
1628,0
1629,0
1634,0
1635,0
1640,1000
1641,0
1660,1000
1661,2000
1662,0
1663,2000
1664,0
1665,0
1666,1000
1667,2000
1674,2000
1675,1500
1682,1000
1683,1000
1686,0
1687,0
1696,1000
1697,2000
1714,2000
1715,0
1720,0
1721,2000
1724,0
1725,0
1732,1000
1733,1000
1734,2000
1735,1000
1742,0
1743,0
1744,0
1745,0
1748,0
1749,0
1754,1000
1755,2000
1756,0
1757,0
1758,1000
1759,1000
1760,0
1761,0
1780,2000
1781,0
1788,0
1789,0
1790,0
1791,1500
1792,0
1793,0
1796,0
1797,0
1798,1500
1799,1500
1800,1000
1801,0
1804,0
1805,2000
1822,0
1823,0
1824,0
1825,0
1828,1000
1829,2000
1836,1500
1837,1500
1844,1000
1845,1000
1856,1000
1857,1500
1862,0
1863,2000
1866,0
1867,0
1868,1000
1869,1000
1876,0
1877,0
1878,1000
1879,1000
1880,0
1881,0
1886,0
1887,0
1890,0
1891,2000
1892,0
1893,0
1900,0
1901,0
1904,2000
1905,0
1910,0
1911,0
1914,1000
1915,2000
1926,1000
1927,1000
1928,0
1929,0
1938,0
1939,0
1942,1000
1943,2000
1944,1000
1945,0
1946,1500
1947,1500
1948,1000
1949,1000
1954,0
1955,0
1964,1000
1965,1500
1966,1000
1967,1000
1972,1000
1973,2000
1974,1000
1975,2000
1994,1000
1995,1000
1996,1000
1997,2000
1998,1000
1999,2000
2004,1500
2005,1500
2006,1000
2007,1500
2018,1000
2019,2000
2030,0
2031,1500
2032,0
2033,1000
2034,2000
2035,2000
2048,2000
2049,1500
2052,1000
2053,2000
2056,1000
2057,1500
2070,1000
2071,1500
2076,0
2077,0
2094,0
2095,0
2096,0
2097,0
2126,2000
2127,1000
2128,1000
2129,2000
2130,2000
2131,0
2138,0
2139,0
2156,1000
2157,1000
2164,0
2165,1000
2168,1000
2169,1500
2178,1000
2179,0
2180,0
2181,0
2196,1000
2197,0
2206,2000
2207,0
2214,2000
2215,2000
2224,1000
2225,1500
2228,0
2229,1000
2230,1000
2231,2000
2236,1000
2237,2000
2246,1000
2247,0
2248,1000
2249,2000
2264,2000
2265,2000
2266,2000
2267,2000
2272,1000
2273,1500
2298,1000
2299,2000
2310,1000
2311,1000
2314,0
2315,2000
2318,1500
2319,1000
2348,1000
2349,1000
2354,0
2355,0
2358,0
2359,0
2362,1000
2363,0
2366,1000
2367,0
2368,1000
2369,0
2372,2000
2373,2000
2374,1000
2375,1000
2380,2000
2381,2000
2382,0
2383,0
2384,1000
2385,0
2390,1000
2391,1500
2402,1000
2403,0
2408,0
2409,0
2410,2000
2411,0
2424,1000
2425,0
2432,0
2433,0
2438,0
2439,0
2442,0
2443,0
2444,1000
2445,2000
2448,1000
2449,1500
2454,1000
2455,1500
2456,1000
2457,1500
2460,1000
2461,1000
2462,2000
2463,1500
2464,1000
2465,0
2466,1000
2467,0
2478,1000
2479,2000
2482,1500
2483,2000
2486,2000
2487,1500
2490,1000
2491,1500
2492,1000
2493,0
2494,1000
2495,0
2498,1500
2499,0
2500,1000
2501,0
2508,0
2509,0
2510,1000
2511,0
2516,0
2517,0
2532,1000
2533,1500
2540,1000
2541,1500
2550,1000
2551,0
2556,1000
2557,1000
2562,1000
2563,0
2570,2000
2571,2000
2572,1000
2573,1000
2576,0
2577,0
2580,0
2581,0
2582,1000
2583,0
2584,0
2585,0
2598,1000
2599,0
2606,1000
2607,1000
2612,1000
2613,1000
2622,1000
2623,2000
2626,0
2627,0
2628,1500
2629,1500
2632,1000
2633,1000
2636,0
2637,2000
2644,0
2645,0
2648,1000
2649,0
2654,1000
2655,0
2656,0
2657,0
2658,0
2659,0
2662,0
2663,1500
2672,1000
2673,2000
2674,1000
2675,0
2678,1000
2679,0
2680,1000
2681,1000
2682,1000
2683,0
2690,0
2691,0
2696,0
2697,0
2700,1000
2701,0
2706,1000
2707,2000
2708,0
2709,1500
2712,1000
2713,2000
2720,1000
2721,1000
2722,0
2723,1000
2730,1500
2731,2000
2732,2000
2733,1500
2738,2000
2739,2000
2748,1000
2749,1000
2764,2000
2765,1000
2766,1000
2767,1000
2776,1000
2777,1500
2782,1000
2783,1000
2788,1000
2789,2000
2802,2000
2803,0
2810,1000
2811,1000
2818,0
2819,0
2826,1000
2827,1000
2838,1000
2839,2000
2856,1000
2857,1000
2858,1000
2859,1000
2864,0
2865,1000
2872,0
2873,1000
2878,2000
2879,1000
2894,1000
2895,1500
2904,1000
2905,2000
2906,1000
2907,2000
2914,1000
2915,1000
2920,0
2921,2000
2926,1000
2927,0
2930,0
2931,1000
2938,1000
2939,1000
2944,0
2945,0
2948,1000
2949,1000
2952,2000
2953,1000
2954,2000
2955,1000
2956,1000
2957,2000
2958,1000
2959,1000
2962,0
2963,1000
2970,1000
2971,1000
2972,1000
2973,1500
2974,1000
2975,1000
2976,1000
2977,1000
2982,1000
2983,1000
2984,1000
2985,1000
2990,2000
2991,2000
2992,1500
2993,2000
2996,1000
2997,1000
3012,1000
3013,1500
3014,0
3015,1000
3018,1000
3019,1000
3034,2000
3035,1500
3048,0
3049,0
3062,0
3063,1000
3076,0
3077,1000
3080,1500
3081,1000
3086,1000
3087,2000
3094,1000
3095,1500
3096,1000
3097,2000
3114,1000
3115,1500
3120,0
3121,0
3122,1500
3123,1000
3124,0
3125,1500
3126,0
3127,1000
3144,1000
3145,1000
3148,1000
3149,1000
3160,1000
3161,1000
3162,1000
3163,1000
3164,1000
3165,1000
3180,1000
3181,1000
3188,1000
3189,1000
3196,1000
3197,1000
3198,1000
3199,1000
3206,0
3207,1000
3220,0
3221,1500
3224,0
3225,0
3226,1000
3227,1000
3228,1000
3229,2000
3232,1000
3233,2000
3238,1000
3239,1500
3240,1000
3241,1000
3244,0
3245,1000
3246,1000
3247,1500
3250,1000
3251,2000
3254,1000
3255,0
3256,1000
3257,1000
3260,0
3261,1000
3264,2000
3265,1000
3270,1000
3271,1000
3274,1000
3275,1000
3284,1000
3285,1000
3286,1000
3287,1000
3292,1000
3293,1500
3298,1000
3299,1000
3300,1000
3301,1000
3302,1000
3303,1000
3304,1000
3305,1000
3312,1000
3313,1000
3316,1000
3317,1000
3318,1000
3319,1000
3322,1000
3323,1000
3326,1500
3327,1000
3328,1000
3329,1000
3340,1000
3341,1000
3344,1000
3345,2000
3348,1000
3349,1500
3352,1500
3353,1500
3358,1000
3359,1500
3362,2000
3363,1000
3364,0
3365,1500
3372,1000
3373,2000
3376,1000
3377,1000
3378,1000
3379,1000
3380,0
3381,1500
3382,1500
3383,1500
3384,1000
3385,1000
3388,1500
3389,2000
3390,1500
3391,1000
3394,1000
3395,1500
3402,2000
3403,1000
3404,1000
3405,1000
3406,1000
3407,1000
3412,1000
3413,1500
3418,1000
3419,2000
3420,0
3421,0
3426,1000
3427,1500
3430,0
3431,1500
3436,1000
3437,1500
3448,1500
3449,1500
3450,1500
3451,1000
3456,1000
3457,1000
3458,2000
3459,1500
3460,1000
3461,1000
3462,1000
3463,1000
3488,1000
3489,1000
3490,1000
3491,1500
3500,1500
3501,1000
3510,0
3511,1000
3516,1000
3517,1500
3518,0
3519,1000
3520,1000
3521,1000
3530,1000
3531,1500
3532,2000
3533,1000
3534,1000
3535,1500
3538,1000
3539,1000
3540,1000
3541,2000
3546,0
3547,1500
3556,1000
3557,1000
3568,1000
3569,1500
3576,1000
3577,1500
3578,1500
3579,1000
3580,1000
3581,1000
3588,1000
3589,2000
3590,0
3591,1000
3596,1000
3597,2000
3598,1500
3599,1000
3602,1500
3603,1000
3604,0
3605,1000
3614,1000
3615,1500
3624,1000
3625,1000
3628,1000
3629,1500
3632,2000
3633,1500
3640,1000
3641,1000
3642,1000
3643,1000
3644,0
3645,1000
3652,1500
3653,1000
3656,1000
3657,2000
3658,0
3659,1500
3666,1000
3667,1500
3668,1000
3669,2000
3682,0
3683,2000
3686,1000
3687,1500
3692,1000
3693,1500
3696,1500
3697,1500
3700,1000
3701,1500
3702,1500
3703,1500
3704,1500
3705,2000
3706,1000
3707,1500
3708,0
3709,1500
3710,1500
3711,1500
3712,1000
3713,1000
3726,1000
3727,1000
3738,1000
3739,1500
3750,1000
3751,1000
3754,1500
3755,1000
3766,1000
3767,1500
3772,1000
3773,1000
3774,0
3775,0
3776,2000
3777,1500
3778,1000
3779,2000
3786,1000
3787,1500
3808,1500
3809,1500
3816,1000
3817,1500
3818,1500
3819,2000
3822,1000
3823,1500
3824,0
3825,2000
3826,1000
3827,2000
3832,1500
3833,1500
3846,2000
3847,1500
3850,1000
3851,1500
3852,1500
3853,1500
3860,1000
3861,2000
3862,1000
3863,1500
3872,1000
3873,2000
3874,1000
3875,2000
3876,1000
3877,1500
3882,2000
3883,1000
3892,1000
3893,1000
3896,1000
3897,1000
3902,2000
3903,1500
3914,0
3915,1000
3918,0
3919,1000
3922,2000
3923,1500
3946,0
3947,1500
3954,1000
3955,1500
3958,1000
3959,1000
3962,1000
3963,0
3964,0
3965,1500
3968,1000
3969,1500
3980,1000
3981,1500
3986,1000
3987,1500
3988,1000
3989,1500
3990,1500
3991,1500
3998,1000
3999,2000
4014,1000
4015,1500
4022,1000
4023,1500
4030,1000
4031,1500
4032,1000
4033,1500
4040,1000
4041,1000
4052,2000
4053,1000
4068,1000
4069,1000
4070,1500
4071,1500
4072,1000
4073,1500
4074,1000
4075,1000
4084,0
4085,2000
4092,0
4093,1500
4106,1000
4107,1500
4116,1000
4117,1500
4122,1000
4123,1000
4132,1000
4133,1500
4136,1000
4137,1000
4140,1000
4141,1500
4142,1000
4143,1000
4160,1000
4161,1000
4164,1000
4165,2000
4176,2000
4177,1000
4182,1500
4183,1500
4186,2000
4187,2000
4188,1000
4189,2000
4190,1000
4191,1000
4194,1000
4195,2000
4198,1000
4199,1000
4202,1000
4203,1000
4230,0
4231,1500
4238,1000
4239,1500
4242,2000
4243,1500
4244,1000
4245,1500
4246,1000
4247,1000
4248,1000
4249,1500
4250,1000
4251,1000
4254,1000
4255,1500
4258,1000
4259,1000
4264,1000
4265,0
4268,1000
4269,1500
4274,0
4275,1000
4282,1000
4283,1500
4298,1000
4299,1000
4306,0
4307,1500
4308,2000
4309,1500
4320,0
4321,1500
4322,1000
4323,1500
4324,0
4325,1500
4336,2000
4337,1500
4344,1000
4345,1000
4350,1000
4351,1500
4354,1500
4355,2000
4356,1000
4357,1000
4364,1000
4365,1500
4380,1500
4381,1500
4386,0
4387,1500
4390,1000
4391,1000
4396,2000
4397,2000
